,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
284,ZCTA5 01464,7404.0,0.3,17.6,12.3,3.5,2.7
285,ZCTA5 01467,440.0,1.7,23.0,13.5,0.0,5.6000000000000005
286,ZCTA5 01468,3682.0,0.0,23.9,13.7,9.4,2.8
287,ZCTA5 01469,7328.0,0.2,16.5,14.0,9.1,1.1
288,ZCTA5 01473,7361.0,2.2,20.2,17.9,6.9,1.7999999999999998
289,ZCTA5 01474,1855.0,0.0,27.5,15.100000000000001,5.5,1.3
290,ZCTA5 01475,10466.0,1.5,17.8,14.6,5.699999999999999,4.5
291,ZCTA5 01501,16136.0,2.0,18.4,11.9,10.0,4.9
292,ZCTA5 01503,2917.0,3.1,18.299999999999997,13.0,8.8,4.1
293,ZCTA5 01504,9055.0,0.8,20.299999999999997,15.6,5.2,2.4000000000000004
294,ZCTA5 01505,4399.0,2.2,19.7,14.100000000000001,7.0,4.0
295,ZCTA5 01506,3396.0,0.9,12.0,15.4,10.600000000000001,3.8
296,ZCTA5 01507,13126.0,1.8,19.9,13.5,7.3,2.4000000000000004
297,ZCTA5 01510,13675.0,1.4,16.1,12.399999999999999,8.4,2.7
298,ZCTA5 01515,2263.0,2.9,19.7,13.6,12.3,1.9
299,ZCTA5 01516,8624.0,0.3,15.1,15.2,6.800000000000001,2.9
300,ZCTA5 01518,2418.0,1.4,14.3,17.3,17.1,2.1
301,ZCTA5 01519,6573.0,1.2,16.7,13.0,5.300000000000001,3.8000000000000003
302,ZCTA5 01520,14724.0,1.8,16.6,14.8,7.1,4.2
303,ZCTA5 01521,2491.0,0.0,16.7,18.0,6.2,6.6
304,ZCTA5 01522,3038.0,2.0,22.9,15.100000000000001,6.6,1.9
305,ZCTA5 01523,7847.0,1.0,13.5,11.1,9.4,2.1
306,ZCTA5 01524,7103.0,1.2,15.399999999999999,16.7,5.4,4.2
307,ZCTA5 01525,152.0,0.0,14.1,43.4,0.0,0.0
308,ZCTA5 01527,13350.0,1.1,19.9,11.6,11.2,3.4000000000000004
309,ZCTA5 01529,3208.0,0.0,22.6,11.2,4.7,2.1
310,ZCTA5 01531,1109.0,1.5,18.0,21.1,7.3,2.3
311,ZCTA5 01532,14644.0,1.9,18.7,13.2,6.6,4.199999999999999
312,ZCTA5 01534,6303.0,1.1,20.9,14.0,4.1,5.300000000000001
313,ZCTA5 01535,4715.0,0.0,16.8,12.7,4.9,5.8
314,ZCTA5 01536,7138.0,2.7,15.3,12.7,6.2,3.4
315,ZCTA5 01537,2392.0,0.0,10.3,9.4,3.9000000000000004,4.9
316,ZCTA5 01540,11219.0,0.4,20.3,12.8,7.5,1.7999999999999998
317,ZCTA5 01541,3432.0,1.0,16.9,20.9,5.9,1.8
318,ZCTA5 01542,1747.0,1.3,9.3,18.200000000000003,17.700000000000003,3.1
319,ZCTA5 01543,8188.0,1.1,17.6,10.1,8.1,1.1
320,ZCTA5 01545,35818.0,1.5,17.1,11.8,7.2,3.6
321,ZCTA5 01550,16775.0,1.8,14.9,11.8,4.9,4.1
322,ZCTA5 01560,4565.0,0.3,15.4,8.4,3.9,2.5
323,ZCTA5 01561,155.0,0.0,0.0,31.6,0.0,0.0
324,ZCTA5 01562,11746.0,0.7,17.3,15.9,8.100000000000001,3.2
325,ZCTA5 01564,7870.0,1.3,25.4,12.2,9.4,1.0
326,ZCTA5 01566,6945.0,1.2,16.0,14.5,6.800000000000001,5.4
327,ZCTA5 01568,7453.0,0.9,19.3,18.0,6.8999999999999995,2.6
328,ZCTA5 01569,13703.0,0.4,16.200000000000003,15.4,6.699999999999999,2.2
329,ZCTA5 01570,16806.0,2.4,17.5,12.8,8.7,5.0
330,ZCTA5 01571,11633.0,0.9,13.3,10.8,6.3,3.9000000000000004
331,ZCTA5 01581,18481.0,1.6,20.3,12.2,6.0,3.4
332,ZCTA5 01583,7687.0,1.2,9.8,12.0,6.2,2.8
333,ZCTA5 01585,4705.0,2.0,15.9,16.0,12.2,3.1
334,ZCTA5 01588,9569.0,1.2,13.8,13.3,9.1,3.5
335,ZCTA5 01590,9014.0,1.4,23.4,13.899999999999999,8.0,4.0
336,ZCTA5 01602,24228.0,2.1,14.5,12.3,6.2,3.5
337,ZCTA5 01603,20380.0,1.1,15.3,10.8,5.800000000000001,2.2
338,ZCTA5 01604,34628.0,2.0,10.2,12.5,5.7,3.3
339,ZCTA5 01605,27387.0,1.6,12.2,10.7,5.2,2.5999999999999996
340,ZCTA5 01606,19043.0,1.7,16.5,10.9,7.1,2.5999999999999996
341,ZCTA5 01607,8991.0,1.2,15.5,12.399999999999999,5.4,1.5
342,ZCTA5 01608,3351.0,4.0,10.7,8.2,5.6,0.5
343,ZCTA5 01609,20948.0,1.6,11.7,11.399999999999999,5.0,5.300000000000001
344,ZCTA5 01610,23885.0,0.6,10.399999999999999,9.1,2.6,1.9000000000000001
345,ZCTA5 01611,2458.0,0.0,17.4,10.8,5.6,3.6
346,ZCTA5 01612,4879.0,0.8,15.0,14.2,8.1,3.4
347,ZCTA5 01701,31780.0,2.1,15.5,13.899999999999999,9.100000000000001,4.8
348,ZCTA5 01702,38180.0,0.9,12.2,10.5,4.699999999999999,3.5
349,ZCTA5 01718,303.0,0.0,7.6,11.8,10.9,10.1
350,ZCTA5 01719,5102.0,1.3,19.9,17.6,6.3999999999999995,1.9
351,ZCTA5 01720,22197.0,1.1,20.0,14.299999999999999,5.3,2.3
352,ZCTA5 01721,16985.0,1.3,17.9,14.9,6.5,3.4000000000000004
353,ZCTA5 01730,13709.0,2.5,17.5,12.6,4.699999999999999,7.7
